LibraryID	Cutibacterium_acnes	Cutibacterium_granulosum	Propionibacterium_sp._oral_taxon_193	Rothia_mucilaginosa	Rothia_dentocariosa	Micrococcus_luteus	Kocuria_palustris	Microbacterium_aurum	Dermacoccus_nishinomiyaensis	Actinomyces_oris	Corynebacterium_ureicelerivorans	Streptococcus_mitis	Streptococcus_oralis	Streptococcus_sanguinis	Streptococcus_pneumoniae	Streptococcus_gordonii	Streptococcus_parasanguinis	Streptococcus_salivarius	Streptococcus_sp._oral_taxon_431	Streptococcus_pseudopneumoniae	Streptococcus_sp._NPS_308	Staphylococcus_aureus	Staphylococcus_epidermidis	Staphylococcus_hominis	Staphylococcus_capitis	Veillonella_parvula	Pseudomonas_aeruginosa	Pseudomonas_putida	Moraxella_osloensis	Acinetobacter_junii	Haemophilus_parainfluenzae	Stenotrophomonas_maltophilia	Neisseria_subflava	Neisseria_elongata	Neisseria_sicca	Neisseria_mucosa	Neisseria_meningitidis	Sphingomonas_melonis	Roseomonas_sp._FDAARGOS_362	Magnetospirillum_gryphiswaldense	Prevotella_melaninogenica
MBT472	0.05206521172977759	4.5835720610448466e-4	0.0021042762643887704	0.001791759987499349	8.229595291421428e-4	0.018136361268816084	0.0010625553414240327	3.0209906765977395e-4	6.875358091567269e-4	0.0015729985936767542	0.07810823480389605	4.68774415334132e-4	5.416948799416636e-4	2.812646492004792e-4	3.9585395072660036e-4	1.6667534767435805e-4	8.333767383717903e-5	3.4376790457836347e-4	8.333767383717903e-5	8.333767383717903e-5	6.250325537788427e-5	0.01147976457107141	0.008250429709880724	0.5034428876503985	0.0012188134798687433	2.1876139382259494e-4	0.0013229855721652172	9.479660398979114e-4	0.050481795926871194	0.0026251367258711394	3.646023230376582e-4	0.0015729985936767542	0.0013021511537059222	3.541851138080109e-4	1.354237199854159e-4	1.0417209229647379e-4	4.4793999687483724e-4	0.0011354758060315641	0.0033439241627168086	0.00365644043960623	3.2293348611906874e-4
MBT473	0.03946106929400486	0.003773738857271077	0.015890500377373887	0.11424229443322521	0.009189564082165515	0.008638802194888114	5.405625930685596e-4	1.529894131326112e-4	5.099647104420374e-5	0.020786161597617443	9.587336556310303e-4	0.04395895804010362	0.022173265610019786	0.02442730963017359	0.0392468841156192	0.007343491830365339	0.006833527119923301	0.0035493543846765803	0.012463537523203394	0.007374089712991861	0.004620280276604859	0.14814474838341185	0.006792729943087938	0.0037125430920180325	2.2438447259449647e-4	0.010403280093017563	4.3856965098015214e-4	0.004824266160781673	0.017308202272402748	0.0021316524896477164	0.013422271178834424	0.002264243314362646	0.01880749852110234	0.017899761336515514	0.04017501988862371	0.034361422189584476	0.016706443914081145	3.6717459151826694e-4	1.0199294208840748e-4	8.975378903779859e-4	0.014034228831364869
MBT474	0.11762223365928975	0.010272774060730827	0.059629439011837364	0.08632012352032939	0.01054040144107051	0.022521873391662377	0.0018528049408131754	3.293875450334534e-4	2.6762738033968086e-4	0.02432321152856408	0.0029336078229541948	0.02437467833247555	0.013782810087493567	0.013865156973751928	0.025167267112712298	0.004529078744209985	0.002357179619145651	0.002254246011322697	0.007061245496654657	0.004220277920741122	0.0026351003602676274	0.08038085434894493	0.013854863612969634	0.008769943386515697	3.1909418425115797e-4	0.0063510036026762735	7.822954194544519e-4	0.010149253731343283	0.020607308286155427	0.002429233144621719	0.005208440555841482	0.0052599073597529595	0.01229027277406073	0.01154915079773546	0.02412763767370046	0.021451363870303653	0.012774060730828615	6.587750900669068e-4	1.7498713329902214e-4	0.001224909933093155	0.008275862068965517
MBT475	0.06650675288105543	0.004515826250195546	0.011451217604421964	0.012973874954372425	0.01971111226990666	0.03268498722427909	0.0018042446680919851	5.005996766960422e-4	3.963080773843667e-4	0.014454815664598218	0.006476508317255046	0.008093028106586015	0.012056108880429682	0.010627313969859727	0.005798612921729155	0.00760285758982114	0.0023257026646503628	0.0019293945872659959	0.001689523908849142	0.0015017990300881265	0.001491369870156959	0.032559837305105074	0.009646972936329979	0.008447619544245711	2.6072899827918864e-4	0.013766491109141158	0.0017938155081608177	0.014944986181363092	0.10950617927725921	0.009156802419565103	0.007321270271679617	0.015487302497783803	0.011096626166762267	0.007947019867549669	0.018292746519267874	0.018063305000782185	0.00917766073942744	6.257495958700526e-4	2.8158731814152373e-4	0.001877248787610158	0.007206549512436774
MBT476	0.05898698334882935	0.004754458625644493	0.008420674499197025	0.011854450173273605	0.005251035415434029	0.06652015890457273	0.006709069393965007	0.0019968726227706872	0.004152227199729524	0.009170822415687601	0.012435550671963485	0.00502916067957062	0.004543149353393627	0.005377820978784549	0.005948356013861888	0.002091961795283577	8.452370890034655e-4	8.769334798410954e-4	0.0012995520243428281	7.92409770940749e-4	8.135406981658354e-4	0.025642380187642633	0.015245963992900008	0.009973797650240894	4.2261854450173275e-4	0.0051876426337587695	9.93153579579072e-4	0.008262192545008876	0.16525441636379004	0.004078268954441721	0.0020391344772208607	0.007681092046318993	0.004331840081142761	0.00414166173611698	0.011062040402332855	0.0101217141408165	0.006223058067788015	0.0011516355337672219	8.452370890034655e-4	3.1696390837629956e-5	0.0045959766714563435
MBT479	0.08663698426832887	9.85455624814485e-4	7.954882754526566e-4	0.11811219946571683	0.01018699910952805	0.01682398337785693	2.2558622736717127e-4	4.5117245473434253e-4	0.18159691303057285	0.027165330958741466	4.2742653606411395e-4	0.04487978628673196	0.02523003858711784	0.006067082220243395	0.0570495696052241	0.0022558622736717124	0.003063223508459483	0.00788364499851588	0.006981300089047194	0.0056159097655090525	0.008667260314633421	0.007871772039180765	0.007171267438409023	0.003561887800534283	6.173938854259424e-4	0.004060552092609082	0.0014485010388839417	0.003490650044523597	0.0193766696349065	0.0029088750371029978	0.021264470169189666	0.004939151083407539	0.033766696349065005	0.006969427129712081	0.023888394182249924	0.01579103591570199	0.019697239536954587	3.9180765805877114e-4	0.006684476105669337	0	0.014686850697536362
MBT480	0.4606243602865916	0.009733879222108496	0.0017809621289662232	0.016519959058341863	0.0048822927328556805	0.00518935516888434	3.2753326509723645e-4	2.968270214943705e-4	0.19375639713408394	0.013500511770726715	0.006827021494370522	0.009570112589559879	0.007482088024564995	0.002548618219037871	0.006653019447287615	0.0014943705220061413	9.109518935516888e-4	0.002036847492323439	0.0012998976458546572	0.0015557830092118733	0.0022517911975435006	0.004728761514841352	0.0015046059365404298	0.0012282497441146365	0.002006141248720573	0.0018219037871033776	8.904810644831116e-4	0.004176049129989765	0.03519959058341863	7.574206755373593e-4	0.004708290685772774	0.002210849539406346	0.004779938587512794	0.004708290685772774	0.008188331627430911	0.006622313203684749	0.004227226202661208	0.0014636642784032754	0.001750255885363357	7.983623336745139e-4	0.0025997952917093145
MBT481	0.5451285548941799	0.016410383597883594	0.0013434193121693119	0.005011987433862434	0.003213872354497354	0.004061259920634921	2.9968584656084654e-4	1.9634589947089946e-4	0.19168526785714282	0.001767113095238095	0.006417410714285714	0.0030278604497354492	0.0025008267195767192	3.3068783068783067e-4	0.0018187830687830687	5.787037037037036e-4	2.0667989417989417e-4	5.373677248677247e-4	6.200396825396824e-4	4.8569775132275124e-4	4.753637566137566e-4	0.004309275793650793	0.0019634589947089944	0.0022114748677248674	0.0022011408730158726	8.47387566137566e-4	5.373677248677247e-4	0.0013537533068783067	0.04046792328042328	3.926917989417989e-4	0.0020047949735449737	0.001095403439153439	0.0023768187830687827	0.0013020833333333333	0.0013537533068783067	0.0012194113756613756	0.001023065476190476	0.0014570932539682538	0.01892154431216931	0.0020047949735449737	0.001312417328042328
MBT482	0.3270738796762928	0.0053532966688275025	0.09097467639739863	0.0031157859517785074	0.004506388406766901	0.03098011333932791	9.20097864954727e-4	5.12327220258882e-4	0.0013069571945379644	0.02130863009974697	0.001986574935697706	0.010361556638296982	0.006168837958219192	0.006566152945358734	0.00810313460613538	0.002791660567533092	9.20097864954727e-4	0.0033876330482424037	0.0011187553585244976	0.001767006127015328	0.001024654440517764	0.009357813512891824	0.003303987787791974	0.001432425085213609	5.959724807093117e-4	0.007580351728320194	0.0040358838167332345	0.0038999602685012855	0.05842621442462516	0.0015683486334455573	0.0031785198971163294	0.004339097885866042	0.0019029296752472763	0.001327868509650572	0.0027289266221952697	0.0028125718826456994	0.0015892599485581647	0.0058238012588611695	0.008197235524142112	8.469082620606009e-4	0.004098617762071056
MBT483	0.41848363926576215	0.007363660548018089	0.1309922851822293	0.004341580207501995	0.005661080074487896	0.009406757116254322	8.193668528864058e-4	4.788507581803671e-4	9.577015163607342e-4	0.016578877361000263	0.0035541367384942803	0.013343974461292896	0.008342644320297951	0.004905559989358872	0.008523543495610533	0.0029688747007182758	0.0012556530992285182	0.0037031125299281722	0.0011173184357541898	0.0021069433359936153	0.0013620643788241553	0.01954775206171854	0.003617983506251662	0.0021388667198723064	8.512902367650971e-4	0.008640595903165736	0.0031178504921521677	0.002713487629688747	0.027762702846501727	0.0014365522745411012	0.004522479382814578	0.003202979515828678	0.001713221601489758	0.0015003990422984834	0.002341048151104017	0.0022239957435488157	0.0011173184357541898	0.0035541367384942803	0.001415270018621974	0.0013088587390263366	0.009268422452779994
